name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45.345345,122,43.64366,-79.39155,0,200,3,54,127.0,0.5,1,216
-16.043723999999994,33,43.7407,-79.48818,2,80,2,16,305.0,0.23,1,356
-24.963043,132,43.78076,-79.24788000000002,0,80,2,0,,,2,0
16.098518,56,43.68683,-79.42274,0,70,5,23,268.0,0.23,2,280
1.2536364,23,43.66932,-79.38525,0,200,180,62,62.0,0.59,1,269
-27.449678,91,43.69447,-79.28794,0,79,7,16,126.0,0.35,1,314
4.672996,71,43.64589,-79.43464,0,250,4,17,1763.0,0.17,2,365
8.170876,87,43.635979999999996,-79.41468,0,145,28,36,172.0,0.38,1,105
-14.887675,122,43.64443,-79.3968,0,98,2,18,93.0,0.17,1,22
10.812432,88,43.67523,-79.34626999999998,0,225,2,18,244.0,0.31,2,0
-39.077232,23,43.66168,-79.37937,2,90,7,28,51.0,0.47,2,365
-17.593334,89,43.66771,-79.37679,0,401,3,55,633.0,0.54,2,0
-37.85706,87,43.63479,-79.39957,0,325,60,10,1014.0,0.12,1,365
32.036198,32,43.66823,-79.43594,0,100,2,0,,,1,0
45.112392,3,43.671079999999996,-79.39038000000002,0,207,28,6,79.0,0.07,1,126
31.141783,79,43.65574,-79.37216,2,73,1,147,264.0,1.43,12,276
13.387732500000002,79,43.65574,-79.37216,2,70,1,111,91.0,1.09,12,193
-32.78177,87,43.64047,-79.41490999999998,0,105,30,5,360.0,0.14,1,364
32.301006,103,43.64463,-79.44353000000002,0,125,7,7,637.0,0.12,1,364
-34.91431,17,43.6879,-79.35268,2,75,1,0,,,1,364
7.0873240000000015,79,43.65653,-79.37127,2,55,1,117,89.0,1.14,12,202
-6.8538622999999985,137,43.68436,-79.40053,0,211,7,0,,,1,0
-33.896415999999995,23,43.6605,-79.38056999999998,2,187,2,0,,,1,0
-16.436208999999998,94,43.66023,-79.40935,0,252,2,114,137.0,3.6,10,90
7.219172500000001,79,43.65745,-79.36995,2,75,2,143,224.0,1.4,12,195
-35.62117,62,43.65481,-79.39697,2,135,3,16,989.0,0.16,1,0
41.15543,79,43.65652,-79.37269,2,86,1,36,368.0,0.35,12,311
5.3850017,89,43.67093,-79.37298,0,125,14,21,232.0,0.26,1,363
